ONE | 10/7/2021 7:44:53 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:46:55 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:47:51 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:48:32 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:51:28 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:52:15 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 7:53:07 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 2:31:15 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 2:37:39 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 2:41:59 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:30:51 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:31:15 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:32:30 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:37:46 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:38:45 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:39:22 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:40:37 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:41:15 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:42:11 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:47:07 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:48:26 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 3:49:26 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 4:53:33 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/7/2021 4:56:22 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
