ONE | 10/12/2021 9:18:10 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 9:18:40 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 9:19:18 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 9:19:39 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 9:20:15 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 11:12:10 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 11:13:30 AM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:48:29 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:48:37 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:49:30 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:50:16 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:50:34 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:50:52 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:52:13 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:52:40 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:54:02 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:57:20 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 3:58:53 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 4:04:27 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 4:05:22 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 4:08:53 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 4:10:43 PM --------------------- | Read file : OP_Test_LCIT_301F_EDI.txt Successed
ONE | 10/12/2021 4:15:08 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
ONE | 10/12/2021 4:15:14 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
ONE | 10/12/2021 4:17:10 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
ONE | 10/12/2021 4:17:43 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
ONE | 10/12/2021 4:17:43 PM --------------------- | Check file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Incorrect Version : 
ONE | 10/12/2021 4:18:37 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
ONE | 10/12/2021 4:47:29 PM --------------------- | Read file : OP_Test_LCIT_RDTYP_YY_cash_EDI.txt Successed
